,Tweet,HS_Physical
3981,user user astaga bolot banget,1
4000,natural killer marah marah tk payah grab woi duduk diam diam rumah bodoh idiot orang bodoh tahap tk bwk bincang,1
4055,user user user user user user user user user user user user indah tai sapi mata picek,1
4093,hijrah hijrah arah parah sarana duit akhlak mabuk nikmat selangkang pecun dasar isi otak sempak susah ubah,1
4217,op rohingya teroris botak teroris buddha uniform resource locator,1
4282,pick we get love doang mata picek pas pick,1
4309,bilang gue bangsat mata amblek otak pakai baca pelan tafsir maksud gue ndasmu amoh bangsat orang lihat goblok mu pintar media sosial ngablak uniform resource locator,1
4461,user budek buta hadap kerja rakyat jongos asing,1
4495,beda orang suka jelek jelek sesuai nya suka jelek jelek orang mein idiot,1
4558,user idiot islam gerombol jual ayat agama islam dungu rawat beda salah rocky gerung islam fiksi nge i a iny,1
4564,user bukti jokowi sembako pakai anggar belanja negara lapor k polisi bukti cocot mu ojok mangap koyok bajul,1
4582,user anjing orang sarap pusing gue lihat,1
4615,user user user calon legislatif budek amp ngawur bayang,1
4756,user user user mata picek kerja user alias ahok,1
4813,user muka burik bangsat ngewe user,1
4818,user dungu idiot permanen,1
4832,user user agama om user idiot cebur kolam butek banget sih,1
4843,user luhut sih muka bajing usaha duit,1
4920,user user bodoh bera i tampil bro sifat kasih kristus pakai daster rambut gondrong jenggot bandot,1
4988,minggu indonesia lawyers club mutu hadir orang gila kuping,1
5009,user iya ya bodoh balas komen komenmu tolol hehe bangku sekolah baca data benci otak mu gagal kerja,1
5010,user user user user mata picek benci hadap jokowi tutup hati pikir sejarah cipta era jokowi buka kaca mata lihat hutang negara era j,1
5114,gue kasihan kes oposisi iya bolot hitung hitung sri mulyani suhu iya bilang kelas dunia uniform resource locator,1
5154,user bolot lot doang nge i,1
5162,user user user user user neng andi minum kopi gih congor korsleting,1
5212,user user tua picek,1
5277,user user jokowi diktator muka kampung hehe,1
5294,user user sarap,1
5402,user user user user user sampean idiot malu ya umbar goblok ulang ulang,1
5457,user sarap,1
5528,wasit picek,1
5565,user oi sat budek ya,1
5592,user lemak tepu transfer cacat kekal bye,1
5608,user pikir busuk bunuh korban bunuh tentara polisi masarakat bunuh separatis picek kah mata,1
5632,user bodoh gila pi baca tweet tweet sial,1
5640,sinting orang duh,1
5754,user haha muka banci kecoa kafir z,1
5884,dasar bolot uniform resource locator,1
5961,user haha kafir plonga plongo nih muka banci salon uniform resource locator,1
5998,user user tenggelam bocah kepala koreng maha sombong langit menang keparat cepat,1
6019,user budek congean,1
6033,user jiahahahhh sih bencong idiot galau keper nih sebar berita fitnah maklum sih gue bencong turun gerwani surat pemberitahuan cong fitnah makan surat pemberitahuan kerja suka mangkal emper hihi,1
6046,user sombong bacot awak rupe monyet awak cakap pakai akal sikit orang singgung anjing,1
6057,user sipit bank rakyat indonesia,1
6090,haha mata picek a,1
6178,user ancam bom mata sipit lucu lucu ya,1
6197,user kaca idiot idiot panggil idiot,1
6240,user amit amit mulut congor satwa nama anjing sih,1
6256,user user goblok banget lek mempe ahankan jokowi utang sing go bangun pirang persen podo melek data picek,1
6321,user bijak om jokowi diktator wajah lugu nya om,1
6349,user user ireng kafir anjing,1
6398,he tutup congor bau bacot mulu kerja,1
6447,ahok and bani serbet and wereng coklat pancing umat muslim marah kumpul orang sinting,1
6460,user sih picek nih bilang lucu,1
6552,user user user user user user bong dengar jerit tani dengar jerit tani garam bolot akut perata maksud bong gue mohon sih kerak otak lumpur ira,1
6558,user mentang mentang kuasa ambil wenang yudisial sarap,1
6670,user hebat ukur kadar iman orang kadar lihat golong orang picek mata hati,1
6688,marah kasihan kerja keras bacot diam kerja keras bacot bau mulut,1
6763,user tuhan pilih gubernur lari arab ya cong nelo bencong otak idiot hina banget hidup ya cong,1
6774,user iya gue tau tau picek swafoto,1
6801,user semarang kaline butek sing sayang mata picek,1
6833,user manusia sinting uniform resource locator,1
6879,user user foto doang anak idiot kayak,1
6931,user muka kayak pantat monyet beruk celeng,1
6957,user nih platipus idiot kasih udara,1
6961,user user tukar cincin makan sipit mata belok mata ron sipit,1
7089,user user user user user user user user mata picek,1
7091,user user woiii goblok produk kafir anjing pakai muslim promosi negara muslim tolol nih orang tel sperma cebong ya muka tampang copet bacot amplas gih muka pakai parut biar gante,1
7096,user user sih nenek nenek mulut jembut oceh melulu sedak bulu jembut mati nek user,1
7161,user user user user user user user user user user user user televisi terang menteri sehat budek kuping nya,1
7162,user user cocot rusak,1
7165,user user user oh iya ya otak keropos makan belatung onta x8,1
7182,user user kagum gemar bajing nista agama ancam demokrasi halal balas sakit hati nya dasar kecut jongos jongos mulut jamban 2030 september,1
7199,user user user user user user user picek a mata,1
7262,user user bego ah budek,1
7303,user wajar cebong gila akibat bela sih kodok indonesia hancur lebur,1
7328,user mata picek,1
7358,user user user user user user user user user user user user user user user user user user user user user user sarap nih dukung prabowo,1
7465,user picek mata,1
7498,user ya gara gara mata wasit picek lihat bola kena raket salah sikap kevin,1
7538,user user panggil pelan pelan mbak cebong budek,1
7594,user user user user muka kontol monyet,1
7603,user refleks sarah cubit pinggang sang adam motor laju cepat alis te aut kesal lantas luncur protes bawa gadis preman pasar idiot,1
7650,user user cacat ceng,1
7652,user papah mata picek,1
7701,user ah congor mu zon,1
7706,user makan babi bentuk wang haram muka babi perangai babi babi politikus ronggeng babi,1
7746,user he kontol sok mes rupiah muka kayak memek orang tua kayak monyet agama agama kontol 35,1
7764,nama islami laku aduh goblok tampang sesak oi,1
7781,sih tiang listrik kampret li junhui gue tabrak pakai bajaj pasang bom dasar cungkring tau,1
7787,user hoooy ayo balas bisu malu kaum iblis hhhhh gelar ahli provokator,1
7864,user user berani putra melayu takut berani teriak teriak bantu hajar mulut bau congor sih ardi goblok,1
7884,user user user bolot anak alay max biduan kebo parah sebal suka bikin marah marah mesum bau pedean semangat,1
7918,idiot banget sih bang luk uniform resource locator,1
7951,user bolot,1
7991,user user user bolot alias daki,1
8069,user hdh cakap cakap bolot,1
8092,user user cebong buta tuli nyata timpa negeri bela rezim gampang doktrin pidato data indehoi perintah,1
8097,user mak lambe monyong bajing diam iya lambe monyong dasar goblokkkk uniform resource locator,1
8122,user user izin pintu camat politis ai rampok otak e cacing bilang,1
8148,user men are sampah wkwk jap daler pahal orang cacat,1
8187,user user tipu berani bilang uji allah aduh ampun deh bodoh bin idiot orang,1
8199,user user user user user user bambang muka kontol hina ulama gue hajar dasar antek komunis,1
8202,user wajah lihat beloon munafik sok pintar sok suci iblis,1
8266,bola main lapang main main congor bapuk,1
8272,user user haha iya cacat kayak ya otak otak ayam wkwk,1
8321,user lihat direct message ah tau gue bolot user,1
8329,user gue doa budek,1
8360,user bima idiot uniform resource locator,1
8361,oi anjir bolot banget gue paham uniform resource locator,1
8362,user user on gue omelin yel tenang orang gila yel orang barang taruh orang bego dongok sinting sarap bajing,1
8459,user spill nama restoran gue tinggal papua amp gue harga pangan mahal mbak goblok cacat,1
8487,user user user user user gelar profesor palsu lucu nikmat gelar profesor eh bongkar dosen staf gila keburu cinta ilmu ilmu palsu gendeng,1
8510,user auti auti autis ya banci autis seram lt,1
8516,habib sinting anonim dengar sakit jiwa uniform resource locator,1
8623,user user bilang jokowi kacung gue jujur cebonger diam bisu tuli,1
8649,user cewek gila sinting freak,1
8655,user radio lihat ya bolot,1
8658,user user user user sarap nih orang,1
8667,user user user user muka monyet,1
8668,user orang gila,1
8679,user nama bule laku idiot bela sih malu ya anjing bayar sekolah mending comberan bayar maju jual biji kunyuk,1
8801,user user user user user user user nih manusia idiot bicara lantur pikir ajar dasar goblok sok pintar,1
8808,user mata low picek t lt,1
8828,user user user user bicara sarap ketawa ketawa obat habis,1
8829,user seungmin idiot,1
8925,user user gue rela sih tua renta bokong alias barzagli pensiun,1
9078,user user wakil gubernur 1 tingkah laku pakai kayak anak orang jabat perintah stres kali nih orang,1
9083,cunnnn malaysia bolot habis 5 0 fuhhh,1
9084,user user user user user spirit mata bibir tipis kayak silit bacot jual kerja becus daerah khusus ibukota amburadul keparat,1
9088,sinting banget nih orang uniform resource locator,1
9094,user budek,1
9164,dasar sarap,1
9296,user user pipis onta lihat wajah,1
9344,user kangen gue edan,1
9361,timnas cacat mental user prestasi km toreh indonesia ketua user mundur o orang edan jabat,1
9386,user berisik makan autis,1
9433,presiden muka doang sok rakyat sok asyik motor batang bijak cekik rakyat miskin kaum buruh semangaattt,1
9443,user user selamat natal hehe dasar sih admin bolot,1
9581,user mungut orang tampang cebong ulama muda,1
9583,user rakyat indonesia lihat azab poltak mulut bangkai pelihara,1
9595,jahat anak orang haha kali jahat anak orang suparji ribu kali jahat titit sinting ya,1
9650,user user user agama bilang kafir kafir korupsi peluk islam korupsi bilang oknum dasar bau busuk mulut,1
9698,user iya anjir bolot budek,1
9740,user user pakai jamin peduli bos jatuh kayak first travel booming laku korban tenggelam orang indonesia budek riak nge i,1
9746,user user cari buka main salah bela idiot,1
9753,user ustad bilang jancuk mata picek bilang,1
9795,user user kerudung sih transgender makan busuk seram laku wajah sundal bolong zaman now,1
9842,user bolot,1
9851,user user agus budek dengar,1
9855,user mata picek eyeliner,1
9906,user selamat natal hehe dasar sih admin bolot,1
9976,user dasar gila,1
9984,user user user user user maksud domba idiot akun user,1
9985,user user ustad bicara bahasa mbokne jancuk mata picek jamin 100 ustad abal abal,1
10027,user mata picek sih babang,1
10033,he sinting ya uniform resource locator,1
10052,user orang orang budek tuli pekak tolol,1
10059,user budek ya,1
10182,user user cebonger nih junjung tembak tiarap habitat bisu jemaah,1
10218,user wajar sih budek,1
10416,sukmawati bilang suara azan merdu kuping congean budek,1
10548,user user user congor nya dedemit,1
10610,user boro boro cacat,1
10617,user user user picik picek,1
10659,user gede bacot gede cocot andil dasar mulut bedebah kacung gerombol jomlo akut sakit jiwa user,1
10846,user oh iya seram ya bang lo sarap,1
10849,user user user user user orang tingkat benci rezim anggap salah 51 stop kontrak syukur dasa pala peang,1
10892,user user user suka suka gue ekspresi presiden gue pilih nya sadar hater tau edan sibuk tipu rakyat,1
10907,user user user user user user manis manis idiot nih orang,1
10927,user user budek kayak bolot om kuping nya kotor sepe i hati,1
10949,user user congor rusak muak orang lihat orang,1
10953,cebong lihat duit pura pura budek uniform resource locator,1
10989,priski bolot banget,1
11096,user he kontol sok mes rupiah muka kayak memek orang tua kayak monyet agama agama kontol 9,1
11132,user user manusia produk dungu pangkat dungu akibat lahir dungu otak dungu wajah dungu suka hina dungu,1
11164,user user user user user user dasar muka tai babi tenar agama bawa bawa berani media sosial umat agama nya hina hina marah mudah nya langsung maaf ayo front bela islam buruh cari o,1
11184,user bacot gue ulang gue gara gara budek,1
11204,user ulama cebong wajah suram,1
11211,user gilir berita kayak cebong muncul kolam kemarin presiden hina cebong pura pura tuli bisu nyata cinta palsu,1
11253,user gue tau bolot,1
11270,user gila ndro pelepasa saham proklamasi merdeka saking pintar rangkai keblinger nih bani onta,1
11277,user kelola perkara sistem tiket masuk bromo tengger meru biadab idiot pantek jembat,1
11295,user iya picek mata orang gue cantik,1
11336,user user beda layout picek,1
11347,indonesia lawyers club sukses undang orang gila ahok kalah lupa potong kuping gila gila gila gila gila,1
11353,user ah serah lot bolot,1
11368,sasaeng sasaeng your eyes picek a,1
11461,idiot kompetensi bicara kanker uniform resource locator,1
11593,user apik jelek urus nek suka ya diam rasah nyangkem maaf nek masak picek masak budek orang,1
11597,user user idiot tuduh orang kenyataanya sih bela orang rela pakai data bohong edit amp rekayasa,1
11725,mulut bau tai babi bela orde arab pribumi surat pemberitahuan user malu ih bacot culik presiden bubar 2030 uniform resource locator,1
11759,user user waspada ulama jabar tamen sih cungkring muka truk hati dasamuka,1
11832,user banget anjir morgan muka lembut iyaaaaa juni muka berengsek,1
11859,user user budek kayak bolot om kuping nya kotor sepe i hati,1
11934,user user user user dasaaaar bolot pusar luka,1
11952,otak ahok djarot tumpul loyo stres jebol copot ganti,1
11974,user cacat lesung pipi cacat sekian,1
11977,user user user user mata picek,1
11991,user bibir ky congor bebek,1
12020,sepe i diktator user diktator otoriter kena rabun ayam,1
12100,sih kuning tai pulsa pagi rupiah 2000 an potong tinggal rupiah 1 harga langgan sepe inya budek taiiiii,1
12119,user he he he nya gue malas laden komentar jujur gue kasihan pe anyaan gue 100 idiot nih gue bantu pelan pelan ya biar otak nangka,1
12180,user user user user user kunyuk muka bacot pikir duduk du dewan,1
12217,user sarap der,1
12222,orang orang kayak laknat tangis rakyat pra merdeka kiamat gentayang arwah juang gelisah militan kerja ngawang kosong bolot,1
12229,user mantan nyanyi cilik gembrot jelek banget ya salah eh nyata gede cebong kasihan deh pilih calon sombong orang sujud tenggelam,1
12286,user user user user user user cebong dungu kalah gila,1
12291,user salah anggar belanja negara gaji sih mulut onta kerja moga allah cepat kasih,1
12292,bolot uniform resource locator,1
12297,user muka muka pecun nih,1
12331,user cebong dolar pengaruh mata picek,1
12348,user user user user bah otak onta sedeng tau ulama mu bicara ekonomi muslim ulang ulang onta somplak kuat ekonomi muslim,1
12415,user user user cacat banget ican goblok,1
12419,user user user user user user user user user user modal cocot amplop otak awam amp fan nya rawan radikal kena hukum nge nuhan neraka edan,1
12452,user luat orang kedai sombong gaji customer sok muka perangai jaga nak kena,1
12478,user iya edan kayak,1
12483,user user user user islam nusantara koen kate lapo jancuk mata picek sugik,1
12500,user mudah an budek,1
12635,user orang gila uniform resource locator,1
12674,user user user user cebong kocak muka kayak pantat kodok,1
12781,user budek dengar,1
12787,user bicara atur bodoh pikun literasi nih jenderal orang habib kena hina pancasila paham mabuk kecubung nih orang,1
12838,user ya cacat rupa,1
12862,user amin malu ifikat bohong akuisisi saham freeport bohong mulut pantat onta dower,1
12878,user hasil revolusi mental cacat mental optimis 2019 ganti presiden,1
13006,user user sih positif mulut oi badan kayak ikan buntel isi negatif sampah,1
13052,goblok mata picek,1
13084,user cacat sih nya,1
13088,lihat direct message ah tau gue bolot user,1
13090,user alah bacot congor bau,1
13118,user caplang pantat panci,1
13164,user bicara ndasmu congor sekata anjing,1
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,0
1,user user telat tau edan sarap gue gaul cigax jifla cal licew,0
2,41 kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0
3,user user ku tau mata sipit lihat,0
4,user user kaum cebong kafir lihat dongok dungu haha,0
5,user ya bani taplak kawan kawan,0
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0
7,gue selesai re watch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd uniform resource locator,0
8,admin belanja po nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0
9,user enak ngewe,0
10,gue jari gue ukur nyali bacot,0
11,user user user user banci kaleng malu pe anyaan 2 nyungsep koe user uniform resource locator,0
12,ajar ekonomi mesti jago privatisasi hati orang aduh ironi user,0
13,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,0
14,user bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,0
15,user user user user user user lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,0
16,pikir ampas banget ya,0
17,ari bek rapi monyet,0
18,cowok gantle gantle nama banci,0
19,user alga mnr bom,0
20,anjing ya gue jarang ambek takut wkwk gue budak cinta,0
21,user noob peluang sakit nya gede sih,0
22,user joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0
24,bandara udara internasional ajati bangun gubernur ahmad heryawan anggar belanja negara perintah pusat insya allah operasi,0
25,gubernur presiden rakyat ya,0
26,sih user kerja delay mulu setan,0
27,pintu sorga pintu sorga asli pintu hati modus banget,0
28,user user user partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,0
29,user user nenek nenek heran cebong bohong,0
30,user user user user user user user user user islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,0
31,habis sahur jam 10 si bayi nete kali lemas,0
32,user kak emak suka sipit wkwk,0
33,user laku homo jaman now ngentot live blued uniform resource locator,0
34,user kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0
35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,0
36,bajing luka lady terima ganjar ratus kali lipat sanji,0
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota,0
38,user user presiden ri jokowi kerja nya tulus ikhlas,0
39,edan tuju fabiano,0
41,lihat beda wibawa wibawa gubernur indonesia user masya allah,0
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus,0
43,user keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0
44,user user iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0
46,user user positif nse positif respon masyarakat hadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0
47,user user user user sembahyang adopsi tradisi lokal kerja hindu istilah sembahyang lahir tradisi ritus menyembahhyang tunggal salat sembah all,0
48,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,0
49,user user ahok the best abai kaum kampret otak micin,0
50,user user sih otak tempurung laden lawan dungu makan hehe,0
52,pinokio umur 3,0
53,user cerita silat lae kho merah muda oh indonesia liang ie shen tulis cina,0
54,user benci umat islam,0
55,user user user provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,0
56,user gue nete,0
57,user wkwk bani lowo,0
58,takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabur orang ahli ilmu filsafat failosof mari demo sendi,0
59,a orang suka konser konser boros,0
60,makan racun ulama hukum rokok mubah,0
61,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus,0
62,user kali gue gemar korea pop omong teman teman gue idol gue banci homo,0
63,suka video user uniform resource locator kisah seteru haji bolot amp malih tongtong,0
64,budaya kafir sungguh islam indah,0
65,user user user user hem hem diam bisu coba rumput goyang,0
66,setan bisik was was lindung allah qs al a raf 200 fussilat 36,0
67,user user user user user user user ateis sibuk agama orang,0
68,lengser jokowi bangsat,0
69,user selamat kakak,0
70,user bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,0
71,user iya cocot,0
72,user budaya indonesia,0
73,user ajar salat a orang asing pecah belah islam,0
74,user x bicara bangkai,0
75,user user percaya negara jajah ranah bubar sistem sistem beraja negara negara republik komunis negara negara jaja,0
76,nikmat bijak usul partai komunis indonesia iya,0
77,umpama orang cina usir paksa indonesia,0
78,user bunda ngentot yuk,0
79,user cina babi cina maling hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,0
80,karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0
81,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,0
82,user wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0
83,ab pribadi senang kompetisi positif,0
84,user user kitab suci agama bilang om user,0
85,user suka tutup mata tutup lihat te utup gara gara sipit,0
86,user muslim user nista kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi,0
87,user eh kasar kampang,0
88,bentar gue rilis album the onta si wkwk,0
89,user cebong bang,0
90,najis banget gue mentwit barusan he,0
91,transgender anjing uniform resource locator,0
92,user awas bintit intip titit kucing,0
93,user user bawel bawa asa bolot bodor wkwk ya deh,0
94,user user user user gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,0
95,salah target ahok agenda utama lengser jokowi,0
96,user user kena tagar panas banget,0
97,maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0
98,user huria kristen batak protestan pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah huria kristen batak protestan p kali tarutung k,0
99,baca biar pintar jepang amerika cina utang tau,0
100,prabowo kalah bantu jokowi citra ratap pilu,0
101,user user takut azan iblis,0
102,user user goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,0
103,user user user user cebong sewot,0
104,2 gera tekan kerja keras total tingkat potensi bangsa,0
105,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya user uniform resource locator,0
106,user rezim rusak sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0
107,orang orang tuding antek asing asing sungguh be epuk tangan,0
108,user anti asing,0
109,selamat user moga kiprah tingkat nasional,0
110,sih ulama,0
111,user ketapang tenaga kerja asing asing kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0
112,user anak pecun hobi zina haha,0
113,user bom surat harga syariah negara,0
114,user istirahat presiden momentum saksi telinga mata rapat bentuk pacitan 2003,0
115,1979 house select committee on assassination hsca temu cacat investigasi laku fbi warren commission hsca simpul tembak laku konspirasi,0
116,user asa genap 1 17 april 2018 gelar hajat pilih presiden acara negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0
117,user ian pantat,0
