,Tweet,HS_Weak
218,user hoaks ya fahri ambil berita tuyg tong sampah ambil screenshoot tau berita,1
221,user user indonesia mundur bentuk,1
223,user user user user haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah,1
238,laku bodoh user masuk kategori senang laku sontoloyo user menganggu bangsa laku naif user langsung bentuk intimidasi hadap ulama laku user,1
244,user user kayak orang bego bro b ego,1
247,user user orang orang bego minum amp makan kotor onta otak nya somplak,1
248,kuak strategi kampanye tim menang anies sandi uniform resource locator,1
253,user user user rabun budek gue tulis bicara,1
255,user brahahahaaa cebong nya ahoker user cebong cebok user,1
260,presiden tuduh rezim anti islam negeri umat uniform resource locator,1
261,user user manusia bangsat,1
263,user prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,1
267,user user maaf kunyuk user bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu user biar jera nih orang uniform resource locator,1
273,user user user dungu orang ganti presiden tau mikiiiir,1
276,kayak jablay grand theft auto jemput pakai mobil,1
279,user user user user ha lengkap orang bukti goblok sih,1
287,pakai buruh cina rakyat anggur dasar rejim kodok,1
293,user ih banci selotipan,1
294,user user user user user user user haha kalah nih iya orang jahat kalah,1
296,user user cinta orde meng idola prabowo amp hary tanoe,1
298,user user user user belah duren ya dungu ya cebong maaf ya,1
301,ahok verbal keras lampias lari lelaki lunak,1
309,user rencana user seret user adil ham pbb uniform resource locator,1
317,survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,1
324,user hebat user sibuk citra user user user user baca nih,1
325,user muslim hina iblis betina nista syariat,1
329,user user jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat,1
331,user sih bejat cabul user kecut sih onta iya,1
332,wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil,1
333,user user user adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1
334,user user km mainstream mengaa ikan pintar pintar relatif gantung bawa penge iannya surat pemberitahuan pintar meng undeeestimate orang gue pintar komen rejim now pintar mangkrakan janji janji doang sok making,1
337,user user user user gue pukau,1
342,user langsung tag ainya berani ya bera i banci,1
348,user user ah asa hibur cebong bahagia presiden cebong tol cebong germo,1
349,resah presiden hidup penuh drama citra main film televisi joko judul uniform resource locator,1
353,papa ketua fraksi rakyat nya setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat,1
356,ribut komunis bla bla emoh baca baca niat agitasi serang perintah pakai cari simpatisan,1
359,user vital inter bek kanan beda ya era maicon ambrosio cancelo bagus nhmmmm bera i simpul geblek ausilio,1
360,user nama agama munafik,1
361,43 contoh tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi,1
365,user user caci maki nista agama nyata poligami umpet sih ogah,1
367,user sih royson jokowi kacung gue alas fundamental rezim sepe i sengaja masuk debt trap komunis cina north sumatera offshore wajib,1
375,user user cebong panas ngawur,1
382,perempuan kayak mending mati deh jelek sok make up a ist,1
389,user banci kampung heeee,1
400,perjaka jual sok sok an booking tante idiot anjir,1
401,user rev 1 pilih ulama kafir munafik,1
405,solusi dampak signifikan nya obat cegah sakit be ambah parah,1
408,user culun mending kampung jess,1
415,user ha bangkai nih truk,1
419,user user user haha orang gila bicara cak micin biar otak encer cong omong ngawur muslim muslim silit tau babi,1
420,user user user user user user user user user user user coba kaca introspeksi keluarga pakai hijab komunis otak pakai prope iya orang,1
424,copot darmin nasution menteri ekonomi ekonomi bodoh turun daya beli jabat user user,1
426,user user mata picek cuk norak lihat prestasi jokowi nguoblokkk tolol,1
438,user user sabar doa usaha ikhtiar mudah mudah bentar pakai sontek pakai plonga plongo,1
441,celeng nya bang acon susah banget xa,1
442,user cari musuh dasar ana cebong kampret,1
444,nih akun hasil bodoh kaum 212 bikin kaum kaum biar jokowi anti islam wkwk,1
447,user amin rais bikin kacau suruh reformasi pilih kepala daerah salah hasil,1
452,native speaker ya mother language nya english komen jaga bangsat,1
454,user salah tulis salah bu maksud nya cebong muda kampung,1
461,user user user user kiai staquf suku ras biar mudah paham nalar bahlul arab sembah sodor arab bani saud pro israel eh pura pura,1
468,gue diving mampus junedi,1
469,user suciwati revolusi mental jokowi omong kosong bual tuju amp komen uniform resource locator,1
471,user otak makelar jual aset negara maling aset negara user pe amina jual isi tenaga kerja asing tiongkok nurl,1
472,user akun siti fatimah amp komen laman ringkas parah amp bejat malu user moga sehat sabar amp semangat suara,1
473,user user user bawang putih kafir haram his hiks hiks,1
480,user user mata lu picek ya janji jokowi tagih susilo bambang yudhoyono mata picek blok,1
483,user as clara anak pintar dongok kocak cantik idot tau malu urat malu putus butt muka nya imut banget,1
485,presiden buruk sejarah bangsa bangsa cebong,1
489,user ku padah eh even bodoh bulak curang ompu ya nya still segal sayang eh bodoh sikpande harga,1
499,wkwk mampus salah gue blok jaman jokowi ahok calon gubernur gaya intip intip anies sandi uniform resource locator,1
501,user user user user mata picek mata lihat belah,1
503,user kocak kalabong dungu,1
509,user ehhhhh bandot user kritik jokowi mencret darah is oke hina fitnah ambil tindak jokowi presiden pimpin negara pimpin agama salah kaprah luuuu,1
511,astagfirullah mata gue noda kutuk nge bokep,1
513,user kontol iya hapus,1
515,user pergi bangkai,1
518,amin ya rabi tolong user indonesia ya alah lebiiihhhh,1
523,proyek saracen ganjal lantik anies temu saracen foto tokoh ai politik,1
524,user sih ahok kutil babi,1
528,jokowi kasihan goreng pbb,1
531,kepala polisi republik indonesia user mundur jabat,1
537,user user user ya bentar utang susilo bambang yudhoyono njiiieng,1
542,user ogah prabowo gatot oke,1
549,user najis kirim pesan direct message gue balas bodoh gue doa pentas menang,1
550,cowok bacot sih anjing gue gampar,1
552,intens lupa kunci butuh 2019 ganti presiden,1
553,maju gubernur sengsara rawan,1
556,user copras calon presiden pikir mikirrrr pikir sih kowi 1 periode babak bur uniform resource locator,1
557,tau jokowi panggung jilat jilat prabowo dasar lintah uniform resource locator,1
558,barusan dongok dongok motor klakson be ubi2 lampu merah oi dongok berisik norak pas tengok tau teman chain menang ganti lu darah puteeeh,1
563,user bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
569,user dukung calon presiden suka atur jokowi prabowo atur menang pilih presiden 2019,1
570,user hebat ahok maaf bini salam 7 surat pemberitahuan ono kabur malu ulama laku bejat,1
574,hidup prabowo anak soemitro penghianat bangsa,1
575,user user perek sih doll ya,1
576,user user user pilih presiden orang tua nya penghianat negara,1
577,sih ahok bilang nista agama kayak politikus koruptor panggil urus hukum ngeles pakai sakit hati hati mati,1
578,user user user tolol aji agama islam sp i orang aji orang,1
583,user user cina kafir bangsat dasar komunis,1
585,gue menang anjir cupu fik,1
590,salah user amp user bilang antek asing adik prabowo bilang prabowo pro amerika uniform resource locator,1
595,user user user user user citra ah prabowo tidur,1
601,user prabowo tua generasi muda blusuk jokowi muda blusuk pulau,1
606,baca banding modal hasil dasar antek asing,1
612,user user busuk mawati agama islam takut gejala gila nih nenek,1
616,user bera i cacat,1
618,user user luhut bajing,1
628,user user prabowo si mulut busuk rizieq anies fadli zon fahri kumpul sampah negara laku kayak sampah,1
635,manusia otak dungu teriak teriak bubar partai komunis indonesia buku baca bodoh otak kosong mulut iya iya,1
645,user woi bolot,1
653,user user user improvisasi lagu al qur an tafsir masak susah pikir murottal tingkat tilawatil qur an tingkat raut muka tafsir kentut tafsir ngentot tafsir kawin tafsir aji,1
655,user user panik ganti presiden tau calon ups pimpin user koruptor te angkap ganti presiden tau negosiasi,1
657,ekonomi hancur subsidi cabut bahan bakar minyak mahal listrik karuan sembako jangkau rakyat politik kisruh agama nista bijak pro rakyat ham bengkalai leadership lemah periode,1
658,user user indonesia hormat as kemarin bicara nwahhh roman roman antek asing,1
659,usir pasang asing cina user user user user user user user selamat hutan,1
662,user user user user cipta hoaks ya presiden wakil,1
672,user gilir ambruk plonga plongo kayak ayam kena tetelo user,1
675,user user user sindir deh,1
676,percaya akun user wa 081381413774 nya percaya video camera sex bukti video call detik pas suruh transfer alas nya nih muka nya kayak monyet uniform resource locator,1
677,user user bicara sains tonton youtube laku eksperimen tonton youtube modifikasi aduh geblek,1
684,user user homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya,1
687,user direct message sis zon bilang kampang kesal bangsat,1
688,user alah kontol,1
693,user user user susah bang jawa pegang jokowi antek sedih sih,1
705,orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat,1
708,otak taruh taruh congor,1
709,user user sih dakwa nista agama alias sih ahok babi jamban morfin uang rakyat jaka a,1
715,user najis sok banget jutek iyuuuh gue yanyk,1
722,user atur presiden jokowi atur presiden susilo bambang yudhoyono buka mata lihat bacot bodoh bodoh,1
731,hina keluarga jokowi langsung ciduk gilir hina prabowo susilo bambang yudhoyono biar,1
734,haha silvy oh silvy cacing ah wkwk,1
741,bagus pakai petisi lengser jokowi ya ahok cipinang,1
746,user user laku raja salman citra,1
747,user edukasi manusia manusia udik sepe i,1
749,user user tolol hubung rumah tangga urus kerja cakap menteri pecat gubernur jaka a karuan sebentar hancur jaka a,1
752,nih ya gue cowok burung cewek cewek nada nada transgender indonesia nyanyi uniform resource locator,1
755,user tertawa gue tai gampar,1
763,user wkwk trigger bani onta,1
764,berengsek ya mantan gue one thing bout her gue suka mulut filter sok gue jujur,1
771,user ya gue demo jokowi tendang palkjihun dunia,1
772,user jelek udik,1
773,user muak fitnah prabowo,1
780,user kayak tai,1
782,user jago bakar isu partai komunis indonesia komunis,1
784,user user sih joko populer pro nas jakarta sih ahok mw kalah proyek proyek jakarta 1 bangun selesai bangun ruas ruas utama cebong goblok salah ani,1
786,anak anjing kampang,1
789,user hai kunyuk user paham ya prabowo subianto calon presiden salah presiden play station mem,1
795,nih sih nyinyir hijrah tutup koreng,1
796,user pakai paksa paksa jokowi duduk rakhine prabowo anggur politikus anggur omong ngawur,1
801,jokowi user ahok te unda penjara ya uniform resource locator,1
813,user user bong dungu video 31 detik langsung ambil simpul heran dungu kolam,1
821,user haha babi migrain plak twit caring babi iya hg reply twit lepas brim nih good timing,1
826,user bikin puyeng kepala prabowo amin rais om nada nada bicara mutu,1
839,user ahok si mulut jamban tokoh nilai bahasa indonesia norma etika 0 tai kucing,1
841,user user jir dahak wkwk tolol,1
843,user ya goblok mas jaka sembung bawa sepeda sekolah bawa golok gila nih orang tua nya,1
847,user ahok tai fitnah tukang caci maki perempuannn anjing ahok tumbang debat final pilih kepala daerah jakarta,1
850,user user ridwan kamil hebat top kayak ahok tukang nista agama koruptor,1
853,lihat main lengser jokowi hasil ganti presiden sepe i o ganti habibie,1
854,media sosial presiden soeha o lengser jokowi,1
856,user sih anjing lebay geblek,1
857,user user ambisi kuasa sah sah user bilang otoriter sih uniform resource locator,1
858,hem user kayak turun pakde user nih akal sehat jalan,1
859,user heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis,1
861,user aset negara jual ya ruhut hebat impor pangan rajalela bahan bakar minyak babi buta puluh juta lowong kerja asing hebat joko widodo bikin rakyat negara sengsara hancur,1
864,user 98 dolar 12 000 koar koar rezim lengser tembus 15 000 jilat kuasa kasihan rakyat korban propaganda politikus busuk,1
865,user pagu ajak gelut onta,1
867,prof jeffrey musim dingin jokowi presiden lemah sejarah indonesia anisa bahas prof jeffrey musim dingin bagus analisis 2015 bahas,1
872,pecun kelas teri nih uniform resource locator,1
882,user ya allah daniel beli micin bego lurah,1
885,user user user user user prabowo layak calon presiden layak presiden,1
887,jokowi era bangun duit utang,1
889,user user user user klop prabowo berontak koruptor,1
891,user udik darah daging,1
892,baju muslim be uliskan,1
903,user user haha cebong kafir alay goblok munafik jijik banget ih,1
905,user user iya jual sih koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah,1
917,orang bodoh opini partai komunis indonesia bangkit presiden pintar akting citra intelijen tentara nasional indonesia bicara partai komunis indonesia bangkit,1
919,user user user user ngapain komen tolol,1
920,sarap peduli bgstttttttt,1
922,goblok nonton acara nya malam beliau islam fiksi bukti video nya islam kafir islam banget fitnah muslim kafir gue heran,1
926,user fix sinting,1
928,mamat masuk van celah kereta lai rusak setan dasarrrr,1
942,besok prabowo calon presiden teriak teriak timpang percaya maki wa awan gaji,1
943,user tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga,1
948,user user bilang kafir susah haha sel sel otak sambung ya susah kafir cebong orang bicara bicara maki agama islam pakai rujuk internasional haha,1
949,maksud kelas diam bicara ya user nama otoriter,1
951,user user user user user user user user user user user user user monyet komunis tolol,1
961,user freepo kontrak habis istimewa aneh dolar tembus 15 000 diam jilat kuasa dungu ya tum lihat bobrok kerja rezim,1
966,user kirim bantu citra,1
967,user eh anjing bacot gue tantang duel bangsat,1
970,user user dasar kunyuk nih cari duit modal tipu bangsat abu,1
971,user user baca berita nya nih aki ganggu jiwa nya 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila,1
973,user user cari simpati umat muslim jabar pilih presiden 2019 mudah an ulama amp umat islam jabar kesima amp pengaruh trik gaya munafik sih mukidi,1
974,user tebar benci ahok mbak mbak tau sih dakwa user,1
975,user mampus gue mampus yugi mampus onta arab,1
978,user user user user paksa orang penjara bajing kedok agama,1
981,user user user user dongok bong kampret kalabong marah marah suruh laden tetas bong bong,1
984,susilo bambang yudhoyono objektif mumpuni politis indonesia hebat kayak jokowi presiden uniform resource locator,1
986,user bacot album album gue beli pakai duit gue rugi emak akibat dicerahami beli album,1
988,nama jonru ginting status lapor benci duga dukung anies sandi,1
989,user bicara geblek,1
998,user kampret,1
1000,user gubernur tabrak etika jabat lantik gubernur dukun ya calon presiden senang presiden jabat ya lantik beliau calon gubernur dukung presiden calon gubernur,1
1004,prabowo subianto restu ketua gerindra jawa maju pilih gubernur alas uniform resource locator,1
1015,user jokowi mundur pas,1
1022,user user dasar tolol,1
1023,user hormat lacur pakde iblis betina kerja sebar hoaks nista sih hidup,1
1033,user user bangkai,1
1039,user amp hukum sih bangkai turun babi keparat derita alami rakyat indonesia nusantara bahasa adat istiadat budaya ras agama suku pimpin a,1
1043,user user user bak sampah jerman anis resmi toilet keliling gunting pita ya nomor induk siswa,1
1048,user user user sanggup tangkap presiden tugas ai jujungan mangkrak ya jinjing,1
1049,user lawan politik tebar fitnah upaya jegal prabowo maju pilih presiden 2019 uniform resource locator,1
1050,user user user tau junjung cebong licik ya hamba tukang tipu,1
1054,fubu an ajar calon nernya langsung hajar pakai analisa swot ajar kuat lemah oppo unity kayak amp threat bahaya logika gara gara disyerpik ketemu langsung sikat psiko mampus l,1
1057,anggur tingkat,1
1058,user user kecoak bicara juntrung ya gue tinggal mutu bicara orang dungu kayak,1
1062,bodoh bangsa gue uji semester uniform resource locator,1
1067,user user jijik manusia homo,1
1071,user user user dasar celeng,1
1076,user maling teriak maling kafir teriak kafir orang orang kayak lahir campur tai,1
1077,sih anak kampang muncul twitter user,1
1078,user user sih kakak cocot sitohang,1
1081,user kayak kontol,1
1082,user unik jokowi,1
1084,nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi fiksi ulama lihat dungu nuzul alquran logika user,1
1089,sesal bangsat v sakit tunggu sehat ya lihat laku bangsat,1
1090,user user kafir samar makan babi mulut junjung tolak,1
1091,user user user user user user user user user user user user user user user eh serius muntah tai hyung,1
1092,user sinting rusak,1
1093,aki amien rais bilang prabowo karno karno suku agama ras pulau negara republik indonesia prabowo pecah belah dasar mabuk aki,1
1099,laku rezim jokowi baca rezim susilo bambang yudhoyono jilid 3 raih dukung republiken isu islam radikal terorisme islam ancam isis islam nusantara lgbt goreng republiken as presiden ri tang,1
1112,pikir arah riskan hantam posisi imbang condong habis hitam hitam,1
1113,user user september perang partai komunis indonesia desember perang topi santa prabowo menteri peran wanita,1
1121,dewan wakil rakyat majelis musyawarat rakyat ambil tindak pecat hormat setya novanto sudi wakil manusia hina tanda rakyat indonesia,1
1122,user iya huhu orang udik lihat langsung peru kompilasi bilang waaah,1
1123,user user user user user dongok super er promosi film wkwk politik wkwk,1
1124,user cewek manusia homo,1
1130,user rezim anti islam ya nge,1
1131,user provokasi lengser jokowi gue lengser jusuf kalla biar adil biar ramai tamak,1
1138,ahok bebas ulama komando revolusi lengser jokowi sumber uniform resource locator,1
1140,selamat derita orang ih uniform resource locator,1
1147,user user goblok twit sih apes omong sih prabowo arah kesitu,1
1149,user user kakak kredit pinjam negara,1
1157,user user kaum cebong dungu saham ambil putus mayoritas untung gaji kerja alat freepo,1
1158,user user user user user user user user user user user pakai jilbab komunis megawati sri mulyani puan maharani mentwit pintar ya tong,1
1160,user user user user bacot,1
1164,user jokowi staf ahli khusus mempe ahankan aset nasional diktator jomlo lokal,1
1175,user tolong ajak buzzer pintar anggar jago hina orang suka pakai lapor polisi aduh,1
1177,user sinting kah km bos bubar komisi berantas korupsi km orang orang,1
1178,user user sampean sarap ya impor pesawat papa impor garam bayang indonesia isi garam garam impor dasar otak ampu kaki,1
1190,user ayo dukung penuh 1 000,1
1194,gue mimpi sentil biji babi ahok cetar cetar langsung kejang kejang adu jokowi jokowi sunat bicara al maidah,1
1197,user wkwk mampus,1
1199,user user user monyet komunis piara cina loleng,1
1206,user promosi bani kampret,1
1211,user nya gerombol hina presiden mesti proses,1
1220,user user buta ya om,1
1222,user user user user user baca judul monyet biar domba idiot,1
1224,bebas adil ustaz alfian tanjung langsung tangkap adil uniform resource locator uniform resource locator,1
1227,user user fitnah makan nih akun sampah,1
1228,user anak monyet bawa bawa agama bicara politik tau wawas wkwk dangkal media sosial bicara sektarianisme pecah belah umat agam suku ras agama bicara kecebong makar orang panglima gatot kait,1
1236,user user zaman susilo bambang yudhoyono antek antek partai komunis indonesia rajalela ganas sepe i,1
1237,user csis bohong harp menang 2019 cih uniform resource locator,1
1240,mundur gatot amp saing sehat jokowi,1
1243,user nama cari nafkah bangsat,1
1247,keparat orang mantan gue,1
1249,sekretariat jenderal pbb saracen,1
1250,suka video user uniform resource locator ahok bebas anies puruk amp ancam gagal gubernur sandi resmi,1
1259,user user balas gue balas mulu dasar onta cebong,1
1261,orang saksi anjing babi tolol uniform resource locator,1
1264,anjing goblok setan bangsat,1
1270,20 3 kb si koneksi bangsat,1
1272,dasar bajing percaya omong,1
1274,user user ganti presiden ndasmu atos umbar cocot he goblok,1
1276,user malas gue baca onta,1
1277,user user user anak berontak layak negeri,1
1279,detik bukti lelaki bajing,1
1286,user presiden buta tuli pimpin tubruk tabrak budek dengar rakyat teriak lengser jokowi,1
1294,bro user lupa jenguk gara gara asma dewi menang,1
1295,user orang edan koe,1
1300,agenda tema beda tuju turun user nya alat politik kemas agama,1
1304,user user user user user user user user user user user user user user user user user user user user onta,1
1307,user user user user anies sandi berani,1
1308,user user kutuk bro,1
1310,user user hebat nya teriak antek cina,1
1312,user nyata rakyat susah menteri perek daya beli hancur user setan iblis tukang tipu,1
1320,najis banget erel bencong,1
1324,ahok calon gubernur demo,1
1333,user ayo serbuuu persekusi hina presiden hina ulama tuan guru bajang kiai said quraish shihab hina rizieq persekusi rizieq nabi,1
1339,sumpah subjek nih gila babi,1
1340,user eto homo,1
1351,user user user user user user sih idiot jumawa menang kemarin,1
1356,user orang mancam peluk negeri gedong gede dongok ngawur,1
1358,user makar omong zon suka adu domba bawa nama islam agama pegang hidup orang sok suci zon mulut dower bacot,1
1362,user bisnis biar 2019 ganti presiden presiden amanah siswi janji omong impor serba impor tani negeri gigit jari ampun deh,1
1364,user cepat setan,1
1367,user manusia homo,1
1370,user sih anu agama ragu sih kafir,1
1376,user user hmmm cium aroma aroma jablay bangsat iya pergi,1
1384,user user kampung banget sih omong bahas maaf level debat dungu otak,1
1390,jokowi hormat hadap muslim zalim,1
1396,setya novanto titip absen politis kocak bikin malu wakil rakyat pecat,1
1399,user user user mas manusia homo suka pentil mimi peri,1
1404,user user ber busa busa bicara deradikalisasi salat manfaat,1
1410,gojek ayo viralkan cc user user user user user user user user,1
1412,user user user sengkuni tukang ramal lo ramal anies selamat bangsa cocot e sengkuni percaya masuk neraka percaya amin rais sih tukang ramal,1
1416,user user minat mail looking at whole ya dulunya cheater silap and maaf sampah sarap sshhh,1
1419,user kampanye jokowi koar koar janji tarif listrik bahan bakar minyak cipta 10000 lapang kerja nyata nonsens bilang cacat,1
1422,user pikir korban tewas orang manusia sontoloyo kayak anggota komisi nasional ham rela uang pajak bayar gaji orang goblok milik empati,1
1427,user laku batak kafir ya sepe i sih user suka pecah belah umat,1
1428,nama simpang susun bundar semanggi om habib waras dasar kampung om,1
1433,perempuan kayak mending mati deh jelek sok make up a ist,1
1439,user user user haha sempit banget pikir bang kampret cebong doang kasihan,1
1446,user sok keren etik jutek cocok udik banget,1
1447,user rakyat susah cari makan pimpin jokowi gaya rakyat siksa rakyat ganti mati,1
1449,user user tunggu aksi bela kafir tanu,1
1450,ngakakkk banget kepick ya derita nice mochi gue lo taken lo cacat,1
1451,user manusia suka sontoloyo model,1
1454,user cebong senior nih,1
1458,user user cebong nge i,1
1462,user bencong idiot it berani akun asli sebar hoaks fitnah coba lihat akun cong,1
1463,rakyat lengser jokowi,1
1468,user user user user nih utang era jokowi bencong diam sih gembel warung internet banci kaleng,1
1469,biadab rezim jokowi uniform resource locator,1
1474,user maju anjing uniform resource locator,1
1477,user lupa susilo bambang yudhoyono 10 kowi 3 persentase kawan sembako garam impo gila,1
1483,user user jomlo jablay kayak perek,1
1484,empok silvy nyinyir melulu pe anyaan nya sayang sesat maklum sih dese mak mak,1
1486,user sambung anjing nih bocah uniform resource locator,1
1491,user nyata rezim anti islam bilang hoaks,1
1495,user user user user otak bani cebong 0 kosong orang napi nista agama selingkuh istri 7 amp mulut jamban puja puja bak dewa,1
1497,jaka abanjir pimpin akhlak nista agama uniform resource locator,1
1498,user user user cristiano ronaldo bini calon presiden masak negara,1
1502,ustaz ulama bicara politik dibully henti anggota parlemen kritik maki maki bilang grup sakit hati tokoh nasional kritik bunuh karakter jabat aktif rajin kritik pecat jilat bicara politik sanjung,1
1503,user user jokowi anti islam,1
1508,user user melek mata hati serius nyinyir,1
1511,user user user bego,1
1520,user kutuk engkau,1
1521,user kampang bal,1
1524,user user user user user user user user kayak bersih suci tolol teriak muslim saudara muslim mu makan emis kopar kafirin orang benci go,1
1529,wasit picek,1
1541,user user bukti on bukti congor doang,1
1544,user user user user iya manusia laku cebong hina marah hina,1
1550,guru aji bilang main sepak bola sepak bola olah raga partai komunis indonesia ejek antek komunis,1
1556,user orang edan,1
1559,presiden tuduh rezim anti islam negeri umat uniform resource locator,1
1564,user bego,1
1568,usaha kayak coba gue ky gue korban pergi pagi pulang malam sinting,1
1588,v tai conqueror bangsat v bantu gue karma dendi delio i need best jungler,1
1591,anak sih napi cina kafir usir,1
1596,user ha dasar cina hitung,1
1600,segar rakyat janji jokowi beli pt indosat jual megawati presiden jual badan usaha milik negara,1
1607,user user monyet ekor banci plonga plongo,1
1611,user user user bego user nusantara,1
1618,user dora sompret,1
1621,dukung hadap gera nasional fatwa ulama kalah 2019 aksi tangkap bu sukmawati hangat hangat tai ayam user user user,1
1622,akrobat solidaritas laku lucu remah remah kuasa presiden jokowi gerus janji janji kampanye,1
1626,user user haha user ejek buih sih,1
1632,kaca bolot uniform resource locator,1
1640,user user ustad mondok sih kerja mentwit bikin status nyinyir twitter kafir stad,1
1643,fitnah nih empok silvy debat final pilih kepala daerah jakarta gue gue,1
1646,lihat tampang tampang banci lgbt uniform resource locator,1
1647,user user coba perhati sidang teroris alquran an bb dasar apes sontoloyo,1
1650,user sebar hoaks bangun era jokowi,1
1656,sengaja mah rakyat bodoh moga ganti presiden amin,1
1659,user lupa prabowo ajak amien rais front bela islam pulang menang ya,1
1670,user user user user cebong otak campur,1
1672,user user plonga plongo orang kepala alias otak dungu,1
